timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,timeOnIcePerGame,evenTimeOnIcePerGame,shortHandedTimeOnIcePerGame,powerPlayTimeOnIcePerGame,fullName
05:00,0,0,0,0,1,3,0,0,00:00,05:00,0,0,0,0,0,00:00,0,-1,0,10,05:00,05:00,00:00,00:00,Austin Czarnik
72:44,2,1,8,11,5,12,1,1,08:23,64:21,8,9.1,0,0,0,0,00:00,1,2,3,103,14:32,12:52,00:00,01:40,Oliver Wahlstrom
277:21,7,0,0,23,20,20,0,4,33:44,243:32,0,0.0,0,0,0,0,00:05,17,1,7,387,13:52,12:10,00:00,01:41,Noah Dobson
716:20,5,3,88,47,84,363,0,0,03:47,712:07,88,25.9,6.4,1,0,0,0,00:26,37,4,8,1084,08:31,08:28,00:00,00:02,Ryan Reaves
1229:55,15,24,64,153,80,245,9,11,198:28,1029:21,64,42.1,15.7,6,1,0,0,02:06,20,-5,39,1751,15:22,12:52,00:01,02:28,Chris Kreider
183:01,0,2,8,15,18,30,0,0,03:55,170:59,8,50.0,13.3,1,0,0,0,08:07,5,-2,2,293,10:10,09:29,00:27,00:13,Greg McKegg
476:06,2,0,26,26,28,68,0,0,03:26,396:52,26,0.0,0,0,0,0,75:48,53,1,2,648,17:00,14:10,02:42,00:07,Patrik Nemeth
168:00,1,0,22,12,13,32,0,0,00:00,140:30,22,0.0,0,0,0,0,27:30,17,-5,1,237,12:55,10:48,02:06,00:00,Jarred Tinordi
160:53,0,0,6,10,14,35,0,0,00:05,160:18,6,0.0,0,0,0,0,00:30,18,1,0,240,11:29,11:27,00:02,00:00,Anthony Bitetto
287:32,7,3,11,31,18,26,0,1,43:53,234:26,11,43.4,9.7,2,0,0,0,09:13,3,-1,10,409,15:58,13:01,00:30,02:26,Ryan Strome
514:03,14,5,0,78,31,61,1,5,88:34,404:03,0,43.5,6.4,1,1,0,2,21:26,24,0,19,751,16:34,13:02,00:41,02:51,Mika Zibanejad
1028:02,9,5,64,78,65,221,0,0,04:58,869:21,64,45.7,6.4,3,1,0,0,153:43,64,6,14,1534,15:48,13:22,02:21,00:04,Barclay Goodrow
643:23,5,2,23,67,30,50,0,0,26:47,549:36,23,3.0,1,0,0,0,67:00,59,1,7,808,21:26,18:19,02:14,00:53,Jacob Trouba
316:09,5,3,26,33,27,109,0,0,09:09,306:32,26,0.0,9.1,0,0,0,0,00:28,9,1,8,449,11:42,11:21,00:01,00:20,Sammy Blais
17:42,0,0,0,1,2,5,0,0,00:00,17:42,0,0.0,0.0,0,0,0,0,00:00,1,1,0,24,08:51,08:51,00:00,00:00,Dryden Hunt
662:52,18,10,20,85,30,23,2,11,111:41,549:16,20,100.0,11.8,2,1,0,1,01:55,12,-9,28,787,22:05,18:18,00:03,03:43,Artemi Panarin
63:35,0,0,2,6,3,5,0,0,09:32,51:03,2,0.0,0,0,0,0,03:00,5,2,0,80,21:11,17:01,01:00,03:10,Adam Fox
60:42,1,0,0,1,3,6,0,0,00:41,48:00,0,0.0,0,0,0,0,12:01,2,0,1,83,20:14,16:00,04:00,00:13,Ryan Lindgren
21:56,0,0,0,2,3,7,0,0,00:37,20:50,0,0.0,0,0,0,0,00:29,1,-1,0,34,07:18,06:56,00:09,00:12,Julien Gauthier
45:51,0,0,2,5,3,2,0,0,08:27,33:03,2,38.9,0.0,0,0,0,0,04:21,1,-1,0,67,15:17,11:01,01:27,02:49,Filip Chytil
47:38,0,0,0,6,3,0,0,0,06:43,40:55,0,0.0,0,0,0,0,00:00,3,-1,0,67,15:52,13:38,00:00,02:14,Kaapo Kakko
1125:57,13,8,34,78,86,211,0,1,07:10,909:38,34,55.7,10.3,3,0,0,0,209:09,84,10,21,1826,13:05,10:34,02:25,00:05,Nate Thompson
1124:18,30,6,26,105,58,23,1,18,189:09,926:59,26,5.7,0,0,0,0,08:10,47,-2,36,1474,19:23,15:58,00:08,03:15,Keith Yandle
1666:58,48,25,39,190,85,105,6,25,298:51,1243:41,39,51.9,13.2,2,1,2,6,124:26,48,4,73,2280,19:36,14:37,01:27,03:30,Claude Giroux
1834:45,43,25,56,248,117,207,4,20,308:09,1518:32,56,48.9,10.1,5,1,0,0,08:04,21,8,68,2603,15:40,12:58,00:04,02:38,Derick Brassard
2032:49,12,3,42,117,100,152,0,0,24:05,1763:39,42,2.6,1,0,0,0,245:05,211,1,15,2720,20:19,17:38,02:27,00:14,Justin Braun
1075:19,11,20,22,212,71,110,7,9,143:59,922:53,22,21.4,9.4,2,0,0,0,08:27,21,-14,31,1490,15:08,12:59,00:07,02:01,James van Riemsdyk
725:14,16,10,10,105,35,34,1,8,118:43,559:22,10,41.7,9.5,1,0,0,0,47:09,23,0,26,956,20:43,15:58,01:20,03:23,Cam Atkinson
1761:38,31,7,30,151,74,109,2,6,146:34,1445:37,30,4.6,1,0,0,0,169:27,162,3,38,2293,23:48,19:32,02:17,01:58,Ryan Ellis
884:28,18,8,14,103,56,73,1,3,98:10,738:03,14,47.5,7.8,1,1,0,0,48:15,21,5,26,1262,15:47,13:10,00:51,01:45,Kevin Hayes
86:57,2,0,7,5,5,4,0,0,00:00,78:58,7,0.0,0,0,0,0,07:59,14,1,2,125,17:23,15:47,01:35,00:00,Nick Seeler
61:21,1,0,2,9,7,6,0,0,00:00,61:21,2,0.0,0,0,0,0,00:00,3,1,1,95,08:45,08:45,00:00,00:00,Adam Clendening
704:48,12,10,26,67,39,82,0,4,76:08,519:48,26,53.3,14.9,2,0,0,0,108:52,19,1,22,922,18:04,13:19,02:47,01:57,Sean Couturier
322:01,4,6,27,32,24,69,0,0,01:54,287:15,27,50.7,18.8,1,1,0,0,32:52,10,2,10,475,13:25,11:58,01:22,00:04,Scott Laughton
423:49,6,2,8,26,20,17,0,0,35:16,357:01,8,7.7,1,0,0,0,31:32,38,0,8,566,21:11,17:51,01:34,01:45,Travis Sanheim
154:37,1,2,8,13,13,52,0,0,12:13,142:24,8,50.0,15.4,1,0,0,0,00:00,4,1,3,237,11:53,10:57,00:00,00:56,Nicolas Aube-Kubel
76:43,0,0,0,3,6,12,0,0,13:29,63:14,0,0.0,0.0,0,0,0,0,00:00,5,-1,0,106,12:47,10:32,00:00,02:14,Oskar Lindblom
