timeOnIce,shutouts,wins,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,savePercentage,goalAgainstAverage,games,gamesStarted,shotsAgainst,goalsAgainst,timeOnIcePerGame,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage,fullName
28:42,0,0,0,0,12,0,0,12,0,15,0,0.8,6.27178,1,0,15,3,28:42,80.0,Dan Vladar
315:45,0,1,2,4,140,34,3,103,3,115,39,0.89172,3.2304,6,5,157,17,52:37,87.17948717948718,100.0,89.56521739130436,Pavel Francouz
923:55,0,1,7,6,459,61,12,386,14,415,74,0.912525,2.8574,18,14,503,44,51:19,82.43243243243244,85.71428571428571,93.01204819277108,Darcy Kuemper
1791:50,0,4,11,17,944,148,23,773,26,824,164,0.930966,2.34397,29,27,1014,70,61:47,90.2439024390244,88.46153846153845,93.81067961165049,Mike Smith
402:17,0,1,1,4,171,32,4,135,4,146,38,0.909574,2.53552,8,5,188,17,50:17,84.21052631578947,100.0,92.46575342465754,Alex Stalock
208:55,0,0,1,2,88,23,6,59,6,68,25,0.888889,3.15915,4,3,99,11,52:13,92.0,100.0,86.76470588235294,Mikko Koskinen
2176:06,0,0,17,20,1021,168,28,825,30,891,190,0.918992,2.4815,39,37,1111,90,55:47,88.42105263157895,93.33333333333333,92.5925925925926,Jaroslav Halak
186:19,0,1,2,1,128,18,7,103,7,104,19,0.984615,0.64406,4,3,130,2,46:34,94.73684210526315,100.0,99.03846153846155,Thatcher Demko
1412:27,1,11,13,688,129,14,545,15,592,147,0.912467,2.80364,26,26,754,66,54:19,87.75510204081633,93.33333333333333,92.0608108108108,John Gibson
2984:59,0,5,29,21,1378,200,35,1143,38,1232,221,0.924212,2.27137,52,52,1491,113,57:24,90.49773755656109,92.10526315789474,92.77597402597402,Ben Bishop
1530:37,0,1,14,10,757,130,29,598,31,643,150,0.918689,2.62639,27,24,824,67,56:41,86.66666666666667,93.54838709677419,93.00155520995335,Anton Khudobin
6012:47,1,7,50,46,2675,393,51,2231,55,2402,431,0.926247,2.12547,97,96,2888,213,61:59,91.1832946635731,92.72727272727272,92.88093255620316,Braden Holtby
36:40,0,0,0,0,8,2,0,6,0,6,2,1.0,0.0,2,0,8,0,18:20,100.0,100.0,Jake Oettinger
5250:11,9,46,39,2308,386,67,1855,71,2003,429,0.922093,2.22849,85,85,2503,195,61:46,89.97668997668997,94.36619718309859,92.61108337493759,Jonathan Quick
645:36,0,0,5,5,356,44,10,302,11,324,50,0.924675,2.69517,11,10,385,29,58:41,88.0,90.9090909090909,93.20987654320987,James Reimer
599:00,0,2,3,5,301,33,6,262,7,279,34,0.940625,1.90317,9,9,320,19,66:33,97.05882352941177,85.71428571428571,93.9068100358423,Joonas Korpisalo
122:45,0,0,1,1,70,6,2,62,2,65,7,0.945946,1.95519,2,1,74,4,61:22,85.71428571428571,100.0,95.38461538461539,Elvis Merzlikins
1857:42,0,6,15,15,912,142,16,754,18,815,155,0.923077,2.45465,32,30,988,76,58:03,91.61290322580645,88.88888888888889,92.51533742331289,Cam Talbot
259:38,0,1,3,158,28,7,123,8,134,29,0.923977,3.00424,5,4,171,13,51:55,96.55172413793103,87.5,91.7910447761194,Andrew Hammond
2149:20,0,3,16,19,1021,136,34,851,38,910,161,0.920649,2.45658,35,35,1109,88,61:24,84.472049689441,89.47368421052632,93.51648351648352,Connor Hellebuyck
19:57,0,0,0,2,1,0,1,0,2,1,0.666667,3.00752,3,0,3,1,06:39,100.0,50.0,Carter Hutton
1646:43,0,4,14,14,681,101,20,560,21,606,114,0.919028,2.18617,29,27,741,60,56:47,88.59649122807018,95.23809523809523,92.4092409240924,Robin Lehner
27:08,0,0,0,6,5,0,1,0,1,7,0.75,4.4226,1,0,8,2,27:08,71.42857142857143,100.0,Laurent Brossoit
1898:58,1,2,19,10,827,99,33,695,34,754,118,0.912804,2.49609,33,32,906,79,57:32,83.89830508474576,97.05882352941177,92.17506631299734,Philipp Grubauer
129:44,0,0,0,1,54,4,4,46,4,51,7,0.870968,3.6999,3,2,62,8,43:14,57.14285714285714,100.0,90.19607843137256,Chris Driedger
