timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,timeOnIcePerGame,evenTimeOnIcePerGame,shortHandedTimeOnIcePerGame,powerPlayTimeOnIcePerGame,fullName
15264:34,349,162,233,1432,919,505,32,130,1949:04,12651:48,233,44.1,11.3,21,6,6,9,663:42,452,-44,511,19003,16:36,13:46,00:43,02:07,Josh Bailey
8085:03,75,67,982,854,746,3173,2,5,154:57,7582:36,982,38.8,7.8,12,0,0,3,347:30,341,-44,142,11456,10:50,10:09,00:27,00:12,Matt Martin
9685:25,174,185,308,1484,612,847,61,121,1428:05,8021:52,308,33.7,12.5,32,5,2,2,235:28,292,-3,359,12393,15:49,13:06,00:23,02:20,Kyle Palmieri
6938:16,106,88,274,773,517,829,12,26,607:59,6148:57,274,38.9,11.4,11,1,1,1,181:20,271,10,194,9266,13:25,11:53,00:21,01:10,Richard Panik
7755:52,104,81,262,716,590,1177,1,5,59:44,6566:44,262,50.6,11.3,16,0,9,16,1129:24,433,20,185,11450,13:08,11:07,01:54,00:06,Casey Cizikas
9839:22,160,168,219,1275,604,468,34,65,1252:44,8077:07,219,47.4,13.2,26,6,1,2,509:31,365,4,328,12816,16:17,13:22,00:50,02:04,Brock Nelson
7983:51,109,103,180,906,489,970,12,22,438:48,6585:40,180,52.8,11.4,18,2,15,22,959:23,392,20,212,11249,16:19,13:28,01:57,00:53,Jean-Gabriel Pageau
5288:37,53,16,257,389,285,420,0,0,15:54,4704:35,257,0.0,4.1,1,0,1,3,568:08,516,14,69,6564,18:33,16:30,01:59,00:03,Scott Mayfield
5837:01,59,16,96,395,303,485,0,2,46:52,5196:32,96,4.1,1,0,1,5,593:37,498,42,75,7215,19:15,17:09,01:57,00:09,Adam Pelech
6105:42,92,33,63,663,290,477,11,29,513:50,5246:49,63,5.0,7,3,0,0,345:03,491,42,125,7348,21:03,18:05,01:11,01:46,Ryan Pulock
735:19,8,7,202,52,86,231,0,0,02:23,731:23,202,27.3,13.5,0,0,0,0,01:33,32,1,15,1029,08:33,08:30,00:01,00:01,Ross Johnston
5338:40,176,76,174,654,289,91,13,65,818:27,4509:52,174,42.2,11.6,10,2,0,0,10:21,143,14,252,5858,18:28,15:36,00:02,02:49,Mathew Barzal
5021:20,74,81,61,630,333,373,10,22,440:06,4460:46,61,43.0,12.9,16,4,1,1,120:28,139,8,155,6295,15:04,13:23,00:21,01:19,Anthony Beauvillier
1490:20,25,13,20,149,125,36,1,8,177:02,1245:32,20,45.3,8.7,4,0,0,0,67:46,53,-12,38,2077,11:55,09:57,00:32,01:24,Austin Czarnik
397:27,4,2,8,28,25,11,1,1,21:38,375:42,8,0.0,7.1,0,0,0,0,00:07,16,-6,6,493,15:53,15:01,00:00,00:51,Sebastian Aho
637:35,9,12,25,103,53,67,4,10,84:55,551:57,25,33.3,11.7,1,0,0,0,00:43,18,0,21,856,12:01,10:24,00:00,01:36,Oliver Wahlstrom
1205:32,17,4,16,106,80,65,0,6,115:38,1085:02,16,3.8,0,0,0,0,04:52,90,0,21,1543,15:04,13:33,00:03,01:26,Noah Dobson
5911:41,52,49,937,465,686,2322,3,3,92:21,5816:56,937,44.5,10.5,9,0,0,0,02:24,175,-15,101,8480,08:37,08:28,00:00,00:08,Ryan Reaves
9301:05,169,177,475,1275,573,1146,58,92,1447:58,7815:16,475,42.0,13.9,23,1,0,0,37:51,254,67,346,12333,16:13,13:38,00:03,02:31,Chris Kreider
1854:15,15,19,59,144,190,198,0,0,18:02,1730:28,59,49.7,13.2,1,0,2,3,105:45,77,-13,34,2767,09:45,09:06,00:33,00:05,Greg McKegg
6609:31,50,8,182,373,366,517,0,1,19:12,5677:06,182,0.0,2.1,1,0,0,4,913:13,601,19,58,8353,18:03,15:30,02:29,00:03,Patrik Nemeth
1537:31,11,1,123,73,102,225,0,0,03:42,1350:53,123,1.4,0,0,0,1,182:56,128,-14,12,2019,15:04,13:14,01:47,00:02,Jarred Tinordi
2599:15,28,3,142,159,197,400,0,1,18:49,2441:34,142,100.0,1.9,1,0,0,1,138:52,195,-15,31,3514,13:11,12:23,00:42,00:05,Anthony Bitetto
8832:23,194,109,307,1053,547,443,20,75,1197:49,7218:04,307,45.4,10.4,14,2,1,5,416:30,172,25,303,11219,16:08,13:11,00:45,02:11,Ryan Strome
10721:56,234,200,173,1535,604,850,66,134,1642:22,8347:50,173,49.3,13.0,31,6,9,14,731:44,371,-26,434,14139,17:45,13:49,01:12,02:43,Mika Zibanejad
4202:28,61,32,304,393,331,553,0,2,77:51,3620:43,304,52.0,8.1,9,0,2,5,503:54,220,13,93,6170,12:41,10:56,01:31,00:14,Barclay Goodrow
11735:40,167,51,380,1085,516,923,10,47,893:27,9433:06,380,0.0,4.7,7,2,3,10,1409:07,1030,28,218,13869,22:44,18:16,02:43,01:43,Jacob Trouba
614:16,6,7,14,99,62,75,0,0,17:25,595:50,14,35.7,7.1,1,0,0,0,01:01,22,6,13,880,09:54,09:36,00:00,00:16,Jonny Brodzinski
1371:13,18,17,44,123,119,366,1,1,52:48,1317:37,44,66.7,13.8,3,0,0,0,00:48,39,-2,35,1768,11:31,11:04,00:00,00:26,Sammy Blais
990:45,17,6,38,137,89,218,0,0,08:12,981:58,38,25.0,4.4,0,0,0,0,00:35,25,-11,23,1398,11:07,11:02,00:00,00:05,Dryden Hunt
8524:11,308,165,128,1132,433,136,42,122,1370:22,7143:01,128,15.4,14.6,30,7,0,0,10:48,89,113,473,9714,19:41,16:29,00:01,03:09,Artemi Panarin
1811:33,15,18,93,165,149,257,0,0,07:59,1520:34,93,46.8,10.9,1,0,5,6,283:00,90,1,33,2636,12:09,10:12,01:53,00:03,Kevin Rooney
2682:09,76,13,46,227,125,58,3,36,344:41,2185:16,46,0.0,5.7,5,0,1,2,152:12,194,41,89,3196,21:27,17:28,01:13,02:45,Adam Fox
2086:40,28,2,90,120,116,203,0,0,06:49,1818:51,90,1.7,0,0,0,1,261:00,129,30,30,2858,17:59,15:40,02:15,00:03,Ryan Lindgren
430:03,9,2,22,48,47,71,0,0,08:29,421:28,22,45.5,4.2,0,0,0,0,00:06,16,-5,11,658,09:09,08:58,00:00,00:10,Julien Gauthier
1202:09,7,3,28,66,77,55,0,0,06:42,1137:14,28,4.5,1,0,0,0,58:13,95,-1,10,1601,15:36,14:46,00:45,00:05,Libor Hajek
70:17,1,0,0,7,8,25,0,0,00:59,68:24,0,33.3,0.0,0,0,0,0,00:54,5,-1,1,107,08:47,08:33,00:06,00:07,Tim Gettinger
09:30,0,0,0,2,1,0,0,0,00:00,09:30,0,0.0,0,0,0,0,00:00,0,-3,0,16,09:30,09:30,00:00,00:00,Anthony Greco
53:06,1,0,0,5,4,4,0,0,00:00,52:41,0,0.0,0,0,0,0,00:25,5,1,1,68,13:16,13:10,00:06,00:00,Tarmo Reunanen
2602:20,37,34,32,344,186,60,4,10,216:54,2382:26,32,39.6,9.9,4,0,0,0,03:00,72,-25,71,3306,13:59,12:48,00:00,01:09,Filip Chytil
68:27,0,1,2,3,5,12,0,0,00:44,59:44,2,50.0,33.3,0,0,0,0,07:59,2,-1,1,92,13:41,11:56,01:35,00:08,Morgan Barron
1118:49,7,5,20,62,53,93,0,1,53:53,976:28,20,8.1,1,0,0,1,88:28,77,9,12,1398,21:06,18:25,01:40,01:01,K'Andre Miller
247:56,2,2,4,23,20,7,0,0,03:36,243:52,4,0.0,8.7,0,0,0,0,00:28,6,-6,4,334,12:23,12:11,00:01,00:10,Vitali Kravtsov
1631:05,21,19,24,190,114,34,4,16,210:24,1419:27,24,38.5,10.0,3,1,0,0,01:14,27,-23,40,2075,14:18,12:27,00:00,01:50,Kaapo Kakko
149:50,4,0,2,12,10,8,0,1,08:02,140:10,2,0.0,0,0,0,0,01:38,8,-2,4,202,14:59,14:01,00:09,00:48,Zac Jones
777:25,9,12,8,67,56,43,0,0,71:37,705:26,8,41.9,17.9,4,1,0,0,00:22,11,-7,21,1020,13:52,12:35,00:00,01:16,Alexis Lafrenière
10:11,1,0,0,2,1,2,0,0,00:00,10:11,0,0.0,0,0,0,0,00:00,1,1,1,18,10:11,10:11,00:00,00:00,Justin Richards
294:08,5,2,4,31,22,4,0,0,46:51,246:58,4,47.8,6.5,0,0,1,1,00:19,4,-3,7,440,13:22,11:13,00:00,02:07,Morgan Frost
10539:26,97,64,370,883,811,1390,0,1,91:33,8705:38,370,52.8,7.2,9,3,7,9,1742:15,601,-52,161,15819,12:59,10:44,02:08,00:06,Nate Thompson
21972:22,498,102,602,2301,1032,433,38,282,3580:15,17853:21,602,0.0,4.4,16,1,0,4,538:46,1006,-56,600,26671,21:17,17:17,00:31,03:28,Keith Yandle
18512:51,585,273,392,2443,943,847,81,327,3128:35,14264:05,392,55.5,11.2,46,11,7,16,1120:11,386,39,858,23660,19:37,15:07,01:11,03:19,Claude Giroux
14552:36,309,194,419,1781,905,1307,59,151,2291:11,12169:59,419,48.6,10.9,28,4,0,0,91:26,200,-35,503,19159,16:04,13:26,00:06,02:31,Derick Brassard
14153:32,151,28,262,978,722,946,4,12,359:16,12324:57,262,2.9,1,0,0,2,1469:19,1144,22,179,18342,19:36,17:04,02:02,00:29,Justin Braun
13150:15,260,264,321,2199,797,690,76,138,2003:43,10903:15,321,42.1,12.0,38,1,3,5,243:17,246,-37,524,17113,16:29,13:40,00:18,02:30,James van Riemsdyk
11082:27,189,213,146,1883,627,336,42,95,1482:59,8836:06,146,35.5,11.3,42,6,16,16,763:22,289,17,402,14435,17:40,14:05,01:13,02:21,Cam Atkinson
11717:13,195,75,189,1063,562,442,20,59,1159:12,9666:11,189,7.1,16,2,3,8,891:50,871,114,270,14340,20:50,17:11,01:35,02:03,Ryan Ellis
8171:50,174,127,156,1017,505,402,21,53,766:55,6751:13,156,46.4,12.5,21,4,10,17,653:42,173,20,301,11116,16:10,13:22,01:17,01:31,Kevin Hayes
1338:32,10,2,100,89,105,117,0,0,03:31,1258:57,100,2.2,1,0,0,0,76:04,162,-2,12,1779,12:44,11:59,00:43,00:02,Nick Seeler
1390:51,20,4,49,105,90,53,2,5,115:25,1266:11,49,3.8,0,0,0,0,09:15,92,11,24,1877,15:27,14:04,00:06,01:16,Adam Clendening
13060:40,269,174,263,1498,692,529,25,77,1399:25,10056:27,263,51.9,11.6,28,4,5,12,1604:48,352,88,443,16992,18:52,14:31,02:19,02:01,Sean Couturier
4864:43,73,53,211,551,374,679,0,1,49:44,4282:08,211,50.4,9.6,4,1,2,4,532:51,174,2,126,6922,13:00,11:26,01:25,00:07,Scott Laughton
12943:29,199,46,291,1126,542,1355,14,111,1473:24,10231:32,291,50.0,4.1,6,4,0,2,1238:33,848,-163,245,14886,23:52,18:52,02:17,02:43,Rasmus Ristolainen
