timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,timeOnIcePerGame,evenTimeOnIcePerGame,shortHandedTimeOnIcePerGame,powerPlayTimeOnIcePerGame,fullName
10635:05,187,175,282,1826,715,654,46,82,1478:50,9145:37,282,40.9,9.6,26,3,0,0,10:38,197,88,362,14207,14:52,12:47,00:00,02:04,Craig Smith
6448:37,102,94,196,759,456,336,18,34,434:03,5418:38,196,51.6,12.4,16,1,5,8,595:56,238,23,196,8688,14:08,11:52,01:18,00:57,Erik Haula
10191:56,186,115,231,1100,621,820,12,36,1051:14,8724:27,231,46.5,10.5,25,0,5,6,416:15,399,35,301,12890,16:24,14:02,00:40,01:41,Charlie Coyle
6623:32,57,8,211,356,331,551,0,0,30:48,5826:18,211,50.0,2.2,1,0,0,1,766:26,606,8,65,8525,20:00,17:36,02:18,00:05,Derek Forbort
4259:15,26,37,195,465,358,996,1,3,44:13,3678:08,195,49.0,8.0,2,0,4,4,536:54,193,-26,63,5995,11:53,10:16,01:29,00:07,Chris Wagner
12916:26,368,228,376,2238,680,553,66,171,2008:09,10812:08,376,44.6,10.2,38,11,1,2,96:09,367,-48,596,15647,18:59,15:54,00:08,02:57,Taylor Hall
236:40,2,1,10,17,27,16,0,0,00:13,232:58,10,43.8,5.9,0,0,0,0,03:29,17,0,3,341,08:45,08:37,00:07,00:00,Steven Fogarty
4331:24,72,8,98,395,259,203,2,22,382:02,3813:25,98,2.0,2,0,0,1,135:57,210,-9,80,5635,16:43,14:43,00:31,01:28,Mike Reilly
4267:18,59,15,148,368,234,166,3,22,380:31,3753:35,148,4.1,2,0,0,1,133:12,204,56,74,5681,18:14,16:02,00:34,01:37,Matt Grzelcyk
379:16,1,2,13,45,38,95,0,0,00:30,350:13,13,0.0,4.4,0,0,0,0,28:33,14,-8,3,541,09:58,09:12,00:45,00:00,Anton Blidh
116:52,2,1,33,9,10,18,0,0,00:00,112:08,33,11.1,0,0,0,0,04:44,12,5,3,163,11:41,11:12,00:28,00:00,Tyler Lewington
1585:00,7,3,65,90,94,238,0,0,06:54,1491:45,65,3.3,0,0,0,1,86:21,98,19,10,2119,16:51,15:52,00:55,00:04,Connor Clifton
4016:39,47,27,74,349,334,650,1,2,87:33,3578:28,74,46.4,7.7,2,0,1,5,350:38,177,-26,74,5707,12:01,10:42,01:02,00:15,Curtis Lazar
3035:00,34,32,66,381,257,286,0,1,41:45,2627:15,66,52.6,8.4,4,0,3,4,366:00,108,-2,66,4058,11:48,10:13,01:25,00:09,Tomas Nosek
7634:20,227,200,195,1399,438,338,68,139,1204:46,6420:11,195,28.9,14.3,33,4,0,0,09:23,149,73,427,8974,17:25,14:39,00:01,02:45,David Pastrnak
738:05,9,0,18,36,44,66,0,2,25:11,688:17,18,0.0,0,0,0,0,24:37,33,0,9,1051,16:46,15:38,00:33,00:34,Jakub Zboril
6552:29,40,15,196,434,324,474,0,0,19:20,5624:12,196,100.0,3.5,1,0,1,4,908:57,398,58,55,8175,20:13,17:21,02:48,00:03,Brandon Carlo
3758:56,67,67,57,552,244,183,19,33,530:26,3178:01,57,33.0,12.1,15,0,0,0,50:29,85,15,134,4608,15:24,13:01,00:12,02:10,Jake DeBrusk
25:58,0,0,0,3,2,3,0,0,00:00,23:54,0,41.7,0.0,0,0,0,0,02:04,3,-2,0,35,12:59,11:57,01:02,00:00,Cameron Hughes
5368:20,98,24,177,349,235,421,5,19,401:45,4602:21,177,6.9,6,3,0,3,364:14,382,80,122,6462,22:50,19:35,01:32,01:42,Charlie McAvoy
626:34,1,4,80,64,59,87,0,0,16:39,597:18,80,51.7,6.3,3,0,0,0,12:37,18,-13,5,862,10:37,10:07,00:12,00:16,Trent Frederic
40:13,0,0,2,6,3,11,0,0,01:39,38:34,2,0.0,0,0,0,0,00:00,1,-1,0,52,13:24,12:51,00:00,00:33,Oskar Steen
272:43,2,0,2,19,16,11,0,0,02:26,246:01,2,0.0,0,0,0,0,24:16,22,-2,2,352,17:02,15:22,01:31,00:09,Urho Vaakanainen
279:15,3,1,2,31,22,9,0,0,11:04,245:23,2,47.4,3.2,0,0,0,0,22:48,10,-1,4,386,12:41,11:09,01:02,00:30,Jack Studnicka
659:53,7,6,15,91,56,69,1,1,02:21,626:00,15,44.4,6.6,1,0,0,0,31:32,16,2,13,896,11:47,11:10,00:33,00:02,Karson Kuhlman
61:55,0,0,0,5,3,2,0,0,06:10,54:32,0,0.0,0,0,0,0,01:13,5,-3,0,73,20:38,18:10,00:24,02:03,Jack Ahcan
7195:41,77,61,130,728,489,921,2,6,233:16,6114:22,130,44.4,8.4,4,1,7,9,848:03,253,-53,138,9677,14:42,12:30,01:44,00:28,Zemgus Girgensons
7620:53,216,139,142,1324,375,251,41,127,1285:26,6176:24,142,44.1,10.5,25,8,1,3,159:03,203,-69,355,8528,20:19,16:28,00:25,03:25,Jack Eichel
14572:52,321,198,443,1937,835,741,56,162,2287:15,11935:00,443,48.9,10.2,30,7,1,5,350:37,359,-114,519,17250,17:27,14:17,00:25,02:44,Kyle Okposo
9770:00,138,106,256,942,632,635,11,24,664:44,8110:38,256,50.1,11.3,17,2,10,14,994:38,355,-10,244,13240,15:27,12:49,01:34,01:03,Cody Eakin
13163:27,214,265,336,2471,773,373,54,118,1950:50,11181:45,336,44.6,10.7,36,5,0,0,30:52,190,-129,479,16631,17:01,14:27,00:02,02:31,Jeff Skinner
7674:58,67,25,146,491,453,471,1,4,126:59,6824:10,146,42.9,5.1,3,1,0,2,723:49,491,-14,92,10368,16:56,15:03,01:35,00:16,Mark Pysyk
2995:24,14,9,82,206,180,294,2,2,28:03,2670:39,82,4.4,0,0,0,2,296:42,304,-24,23,4066,16:38,14:50,01:38,00:09,Brandon Davidson
6229:09,95,27,240,595,349,595,8,44,624:02,5413:27,240,100.0,4.5,3,1,0,1,191:40,291,-33,122,7811,17:50,15:30,00:32,01:47,Colin Miller
3648:23,74,38,69,485,272,216,4,11,194:30,3380:23,69,39.5,7.8,6,0,0,1,73:30,108,0,112,4911,13:24,12:25,00:16,00:42,Vinnie Hinostroza
4245:43,92,14,34,295,238,97,4,40,533:37,3684:47,34,4.7,3,0,0,0,27:19,239,-27,106,5271,17:50,15:28,00:06,02:14,Will Butcher
22:50,1,0,2,2,2,0,0,0,00:50,22:00,2,56.3,0.0,0,0,0,0,00:00,1,-1,1,30,11:25,11:00,00:00,00:25,Sean Malone
1846:03,18,13,199,180,185,430,0,0,38:12,1727:02,199,31.8,7.2,3,0,1,1,80:49,91,-19,31,2638,09:58,09:20,00:26,00:12,John Hayden
3977:26,34,13,143,247,236,736,1,1,12:08,3594:24,143,5.3,1,0,0,0,370:54,371,13,47,5464,16:51,15:13,01:34,00:03,Robert Hagg
253:06,1,0,0,27,26,27,0,0,01:04,252:02,0,44.2,0.0,0,0,0,0,00:00,6,-2,1,337,09:44,09:41,00:00,00:02,Ryan MacInnis
1981:04,26,19,32,155,153,119,3,4,68:13,1808:37,32,40.0,12.3,0,0,0,1,104:14,57,-7,45,2577,12:56,11:49,00:40,00:26,Anders Bjork
2074:48,43,35,14,277,116,29,20,34,357:10,1709:18,14,50.0,12.6,4,1,0,0,08:20,31,-23,78,2446,17:53,14:44,00:04,03:04,Victor Olofsson
674:07,6,8,6,70,57,35,0,0,01:19,600:14,6,42.0,11.4,2,0,0,1,72:34,10,-3,14,926,11:49,10:31,01:16,00:01,Rasmus Asplund
21:15,0,0,0,1,2,3,0,0,00:00,21:15,0,0.0,0,0,0,0,00:00,1,1,0,27,10:37,10:37,00:00,00:00,Brett Murray
1811:29,17,18,49,259,145,132,3,5,149:33,1658:58,49,34.2,6.9,0,0,0,0,02:58,26,-40,35,2381,12:29,11:26,00:01,01:01,Tage Thompson
3439:28,42,44,132,395,260,524,6,9,203:05,3048:50,132,37.6,11.1,5,0,2,4,187:33,103,-24,86,4642,13:13,11:43,00:43,00:46,Drake Caggiula
2166:38,34,27,24,222,155,52,8,19,294:57,1860:28,24,44.4,12.2,4,0,1,2,11:13,38,-33,61,2833,13:58,12:00,00:04,01:54,Casey Mittelstadt
2754:43,28,7,52,190,153,169,1,3,56:04,2547:23,52,3.7,0,0,0,0,151:16,153,-24,35,3444,18:00,16:38,00:59,00:21,Henri Jokiharju
723:44,8,1,12,24,38,32,0,1,15:02,628:06,12,4.2,0,0,0,2,80:36,43,-1,9,823,19:02,16:31,02:07,00:23,Jacob Bryson
216:22,2,0,4,10,12,20,0,0,00:00,194:45,4,0.0,0,0,0,0,21:37,10,-8,2,249,18:01,16:13,01:48,00:00,Mattias Samuelsson
21:03,1,0,0,1,1,0,0,0,01:49,19:12,0,0.0,0,0,0,0,00:02,1,-1,1,22,21:03,19:12,00:02,01:49,Jimmy Schuldt
588:36,9,4,16,62,41,30,1,1,70:17,516:51,16,47.5,6.5,0,0,0,0,01:28,11,-15,13,755,14:21,12:36,00:02,01:42,Dylan Cozens
237:41,1,5,8,28,17,16,0,0,18:57,218:44,8,40.0,17.9,0,0,0,0,00:00,4,-9,6,307,13:58,12:52,00:00,01:06,Arttu Ruotsalainen
6380:54,163,69,144,765,393,300,20,81,1050:18,5310:43,144,42.9,9.0,15,2,0,0,19:53,96,-59,232,7872,16:14,13:30,00:03,02:40,Jonathan Drouin
24957:51,365,224,714,2765,1038,2212,106,239,3304:17,19388:59,714,8.1,35,7,5,11,2264:35,1691,79,589,28955,24:02,18:40,02:10,03:10,Shea Weber
16347:45,214,81,289,1346,735,1500,22,88,1335:58,13361:47,289,25.0,6.0,15,4,2,8,1650:00,1120,-110,295,19823,22:14,18:10,02:14,01:49,Jeff Petry
9390:27,204,139,318,1053,683,828,38,87,1315:31,8059:22,318,50.5,13.2,18,2,0,1,15:34,226,15,343,12231,13:44,11:47,00:01,01:55,Mathieu Perreault
7076:14,107,94,137,555,494,851,5,13,279:29,6024:39,137,37.3,16.9,15,3,10,19,772:06,229,39,201,10554,14:19,12:11,01:33,00:33,Paul Byron
9112:49,206,189,187,1569,545,266,67,139,1511:28,7584:36,187,50.0,12.0,32,11,0,0,16:45,186,-17,395,11172,16:43,13:55,00:01,02:46,Mike Hoffman
2465:06,29,16,104,261,181,177,4,10,241:59,2209:30,104,6.1,4,0,0,0,13:37,174,4,45,3571,13:37,12:12,00:04,01:20,Chris Wideman
12484:59,125,41,331,902,611,1154,6,25,469:10,10759:44,331,100.0,4.5,6,0,0,5,1256:05,978,16,166,15212,20:26,17:36,02:03,00:46,David Savard
7420:00,70,22,303,539,415,786,1,1,40:54,6642:06,303,4.1,4,2,0,1,737:00,652,5,92,8734,17:52,16:00,01:46,00:05,Ben Chiarot
9285:20,171,173,174,1560,577,508,39,66,1137:04,7648:45,174,38.6,11.1,32,5,8,11,499:31,111,82,344,12409,16:05,13:15,00:51,01:58,Tyler Toffoli
9300:24,170,187,328,1854,582,557,38,66,1380:06,7882:45,328,42.9,10.1,22,0,1,1,37:33,271,68,357,12630,15:58,13:32,00:03,02:22,Brendan Gallagher
7255:18,62,23,345,571,392,747,0,0,39:58,6406:17,345,0.0,4.0,2,0,0,0,809:03,579,53,85,9577,18:30,16:20,02:03,00:06,Joel Edmundson
2870:12,23,5,82,226,178,205,0,0,13:16,2613:23,82,0.0,2.2,0,0,0,0,243:33,200,-3,28,3744,16:07,14:40,01:22,00:04,Xavier Ouellet
4898:22,63,62,106,653,336,562,6,17,437:24,4005:13,106,29.1,9.5,8,0,10,15,455:45,148,9,125,6770,14:34,11:55,01:21,01:18,Joel Armia
4057:10,33,10,104,361,260,255,0,0,16:46,3979:10,104,2.8,3,0,1,1,61:14,233,6,43,5062,15:36,15:18,00:14,00:03,Brett Kulak
5049:05,42,51,366,472,424,1102,0,1,29:14,4382:41,366,49.5,10.8,7,0,6,7,637:10,307,-14,93,7096,11:54,10:20,01:30,00:04,Cedric Paquette
4950:14,57,82,250,746,319,741,5,13,348:24,4368:05,250,37.5,11.0,18,2,3,4,233:45,148,17,139,6513,15:31,13:41,00:43,01:05,Josh Anderson
5086:25,59,61,90,716,338,468,5,8,257:15,4245:03,90,38.0,8.5,11,0,5,6,584:07,148,-2,120,7156,15:02,12:33,01:43,00:45,Artturi Lehkonen
303:05,2,5,14,33,33,36,0,0,08:13,280:23,14,50.4,15.2,2,0,0,0,14:29,13,0,7,439,09:11,08:29,00:26,00:14,Jean-Sebastien Dea
4987:08,79,67,70,493,302,267,19,34,629:48,4061:00,70,51.5,13.6,10,1,1,1,296:20,192,-19,146,6667,16:30,13:26,00:58,02:05,Christian Dvorak
690:50,11,5,29,69,60,95,0,0,09:46,588:04,29,50.3,7.2,0,0,1,2,93:00,31,3,16,1027,11:30,09:48,01:33,00:09,Jake Evans
2153:26,54,28,32,248,127,134,11,27,288:29,1802:09,32,45.0,11.3,2,0,1,2,62:48,70,-20,82,2687,16:57,14:11,00:29,02:16,Nick Suzuki
931:50,5,1,21,71,54,138,0,1,40:08,845:49,21,1.4,0,0,0,0,45:53,60,1,6,1075,17:15,15:39,00:50,00:44,Alexander Romanov
139:36,1,4,2,30,10,3,0,0,15:58,123:38,2,13.3,2,2,0,0,00:00,0,-1,5,191,13:57,12:21,00:00,01:35,Cole Caufield
4100:35,48,39,398,400,340,746,1,1,27:56,3531:27,398,45.6,9.8,5,0,4,9,541:12,316,5,87,5974,12:03,10:23,01:35,00:04,Austin Watson
10023:05,98,45,152,631,513,1059,8,22,413:10,8664:57,152,0.0,7.1,6,1,0,5,944:58,621,16,143,13072,19:32,16:53,01:50,00:48,Nick Holden
14281:26,189,60,280,1039,710,1630,9,72,1400:46,11921:38,280,0.0,5.8,8,1,3,6,959:02,1004,-26,249,17605,20:06,16:47,01:21,01:58,Michael Del Zotto
371:04,7,2,4,28,46,54,0,1,13:10,350:52,4,49.0,7.1,0,0,0,0,07:02,21,5,9,535,08:04,07:37,00:09,00:17,Andrew Agozzino
1734:23,27,17,34,187,132,79,3,8,145:09,1587:53,34,21.9,9.1,4,0,0,0,01:21,22,-7,44,2304,13:08,12:01,00:00,01:05,Pontus Aberg
7473:32,141,67,94,623,491,208,7,25,363:39,6299:53,94,48.9,10.8,13,1,8,13,810:00,268,-53,208,10531,15:13,12:49,01:38,00:44,Chris Tierney
6245:27,97,80,80,650,380,170,8,21,435:46,4983:11,80,39.9,12.3,8,0,7,13,826:30,178,7,177,8758,16:26,13:06,02:10,01:08,Connor Brown
1611:11,7,4,97,84,119,228,0,0,01:59,1500:05,97,4.8,1,0,0,0,109:07,124,-3,11,2187,13:32,12:36,00:55,00:01,Josh Brown
2274:50,30,18,53,281,168,286,0,3,55:36,2072:22,53,51.2,6.4,2,0,1,4,146:52,91,-14,48,3176,13:32,12:20,00:52,00:19,Nick Paul
116:02,2,0,26,11,11,13,0,0,00:15,112:20,26,0.0,0,0,0,0,03:27,4,7,2,167,10:32,10:12,00:18,00:01,Dillon Heatherington
3076:58,55,33,87,300,200,140,8,16,371:06,2688:18,87,45.7,11.0,3,1,0,0,17:34,99,-41,88,4112,15:23,13:26,00:05,01:51,Colin White
5944:44,115,35,124,586,254,263,2,42,723:05,5140:51,124,6.0,3,1,1,1,80:48,333,-59,150,6632,23:24,20:14,00:19,02:50,Thomas Chabot
3283:35,31,5,38,185,199,61,0,5,105:40,3053:33,38,2.7,1,0,0,0,124:22,261,35,36,4358,16:30,15:20,00:37,00:31,Victor Mete
7332:31,75,17,135,365,336,650,1,12,204:01,6247:12,135,4.7,2,0,0,2,881:18,652,-33,92,9361,21:49,18:35,02:37,00:36,Nikita Zaitsev
349:48,2,5,12,43,30,35,0,0,01:02,305:55,12,25.0,11.6,0,0,1,1,42:51,16,4,7,504,11:39,10:11,01:25,00:02,Alex Formenton
975:59,18,17,13,105,59,75,6,14,149:57,819:22,13,52.9,16.2,2,1,0,0,06:40,36,-10,35,1317,16:32,13:53,00:06,02:32,Josh Norris
986:58,15,2,41,80,63,42,1,4,103:28,859:37,41,2.5,0,0,0,0,23:53,55,-6,17,1381,15:39,13:38,00:22,01:38,Erik Brannstrom
1548:47,30,23,27,161,99,170,8,24,269:55,1278:14,27,50.0,14.3,5,0,0,0,00:38,61,-31,53,1999,15:38,12:54,00:00,02:43,Drake Batherson
07:32,0,1,0,1,1,4,0,0,00:00,05:54,0,100.0,100.0,0,0,0,0,01:38,0,1,1,12,07:32,05:54,01:38,00:00,Parker Kelly
68:18,0,0,0,6,5,3,0,0,00:00,66:26,0,0.0,0,0,0,0,01:52,5,2,0,90,13:39,13:17,00:22,00:00,Jacob Bernard-Docker
150:15,6,1,10,11,12,11,0,0,06:20,129:01,10,40.9,9.1,0,0,0,0,14:54,9,6,7,213,12:31,10:45,01:14,00:31,Shane Pinto
834:12,17,12,14,111,53,50,4,9,152:06,682:06,14,29.6,10.8,2,0,0,0,00:00,15,-18,29,1012,15:44,12:52,00:00,02:52,Tim Stützle
863:58,11,3,26,39,47,89,0,0,03:12,759:48,26,7.7,1,0,0,0,100:58,70,4,14,1112,18:22,16:09,02:08,00:04,Artem Zub
19778:52,619,351,578,2769,1177,283,114,356,3871:01,15514:16,578,53.2,12.7,54,3,3,5,393:35,319,8,970,24852,16:48,13:10,00:20,03:17,Jason Spezza
3768:13,38,4,122,334,241,619,0,1,26:24,3500:40,122,1.2,2,0,0,1,241:09,226,-24,42,5227,15:38,14:31,01:00,00:06,Alex Biega
13444:39,213,66,381,1317,632,1358,19,70,1183:55,11187:26,381,5.0,9,0,1,6,1073:18,939,68,279,17559,21:16,17:42,01:41,01:52,Jake Muzzin
15000:38,250,258,1170,2042,947,1724,102,169,2333:12,12315:55,1170,42.4,12.6,42,2,3,4,351:31,448,-86,508,19272,15:50,13:00,00:22,02:27,Wayne Simmonds
15522:17,231,49,206,816,690,298,10,68,1250:00,13032:45,206,0.0,6.0,12,6,3,10,1239:32,999,37,280,19256,22:29,18:53,01:47,01:48,TJ Brodie
17211:13,455,364,379,2756,870,460,106,265,2884:25,14057:45,379,52.1,13.2,56,15,3,6,269:03,347,-18,819,19530,19:46,16:09,00:18,03:18,John Tavares
2589:06,35,6,70,154,136,182,0,0,12:05,2299:57,70,3.9,2,1,0,1,277:04,175,29,41,3254,19:02,16:54,02:02,00:05,Justin Holl
335:40,3,2,153,15,49,154,0,0,00:36,334:56,153,13.3,1,0,0,0,00:08,19,2,5,520,06:51,06:50,00:00,00:00,Kurtis Gabriel
12497:48,246,59,141,1211,572,508,10,99,1212:53,10549:50,141,0.0,4.9,9,5,1,2,735:05,763,-29,305,15958,21:50,18:26,01:17,02:07,Morgan Rielly
3991:37,85,51,110,353,278,153,10,38,473:00,3411:12,110,47.0,14.4,3,0,1,1,107:25,139,-16,136,5260,14:21,12:16,00:23,01:42,Alexander Kerfoot
1121:05,10,0,12,63,64,44,0,0,02:05,1016:40,12,100.0,0.0,0,0,0,1,102:20,57,3,10,1520,17:31,15:53,01:35,00:01,Carl Dahlstrom
5947:33,160,103,90,892,358,88,29,75,836:06,5104:36,90,50.9,11.5,20,4,0,0,06:51,82,22,263,7801,16:36,14:15,00:01,02:20,William Nylander
4829:42,78,59,387,621,350,888,11,26,437:46,4325:26,387,30.8,9.5,11,0,0,0,66:30,126,5,137,6440,13:47,12:21,00:11,01:15,Nick Ritchie
1982:32,24,16,28,188,173,63,1,7,188:24,1780:33,28,46.7,8.5,0,0,0,0,13:35,60,-17,40,2702,11:27,10:17,00:04,01:05,Michael Amadio
398:19,3,11,14,43,26,34,3,3,40:03,358:01,14,58.3,25.6,1,0,0,0,00:15,2,-1,14,538,15:19,13:46,00:00,01:32,Michael Bunting
1073:51,12,15,22,133,90,72,0,0,03:58,984:41,22,41.8,11.3,4,0,1,2,85:12,22,6,27,1501,11:55,10:56,00:56,00:02,Pierre Engvall
2948:32,54,43,48,465,207,101,2,9,260:38,2649:58,48,23.6,9.2,9,2,1,1,37:56,69,10,97,4002,14:14,12:48,00:10,01:15,Ondrej Kase
3343:08,36,11,86,253,208,268,0,0,15:06,3159:56,86,4.3,1,0,0,0,168:06,186,24,47,4449,16:04,15:11,00:48,00:04,Travis Dermott
6768:48,255,103,122,913,355,148,21,107,937:32,5469:49,122,47.1,11.3,19,1,1,6,361:27,185,48,358,8407,19:04,15:24,01:01,02:38,Mitchell Marner
546:36,8,5,31,50,53,50,0,1,08:31,535:33,31,37.4,10.0,0,0,0,0,02:32,15,-15,13,731,10:18,10:06,00:02,00:09,Brett Seney
686:09,5,8,10,70,53,58,0,0,08:08,599:13,10,50.0,11.4,1,0,1,1,78:48,20,-5,13,915,12:56,11:18,01:29,00:09,Joey Anderson
6420:04,152,199,56,1229,334,162,47,92,900:59,5503:03,56,51.7,16.2,35,7,0,0,16:02,289,58,351,7823,19:13,16:28,00:02,02:41,Auston Matthews
69:57,0,0,2,4,5,2,0,0,05:30,64:26,2,0.0,0,0,0,0,00:01,4,1,0,94,13:59,12:53,00:00,01:06,Brennan Menell
3243:48,41,17,54,271,235,165,0,0,15:16,2762:42,54,50.9,6.3,2,0,1,1,465:50,93,-29,58,4543,13:48,11:45,01:58,00:03,David Kampf
532:46,11,1,10,31,37,44,0,2,36:34,488:31,10,3.2,1,0,0,0,07:41,29,-1,12,707,14:23,13:12,00:12,00:59,Rasmus Sandin
56:34,1,0,0,9,6,3,0,0,04:26,51:25,0,0.0,0,0,0,0,00:43,2,1,1,79,09:25,08:34,00:07,00:44,Nicholas Robertson
1374:47,25,15,10,205,93,75,0,0,10:42,1203:27,10,83.3,7.3,3,0,1,2,160:38,41,12,40,1902,14:46,12:56,01:43,00:06,Ilya Mikheyev
13909:03,317,168,194,1804,759,572,33,126,1932:22,10895:35,194,45.9,9.3,32,4,13,22,1081:06,430,90,485,18251,18:19,14:21,01:25,02:32,Derek Stepan
18944:16,334,241,505,2110,1014,1842,45,111,2043:00,14528:08,505,52.5,11.4,34,6,17,35,2373:08,473,43,575,24956,18:40,14:19,02:20,02:00,Jordan Staal
10427:51,119,27,539,627,595,764,0,6,118:27,9245:25,539,4.3,3,0,0,0,1063:59,1079,116,146,13772,17:31,15:32,01:47,00:11,Ian Cole
8796:14,81,29,594,603,526,639,3,11,193:55,7887:02,594,50.0,4.8,2,0,1,3,715:17,454,-12,110,12134,16:43,14:59,01:21,00:22,Brendan Smith
13314:53,228,49,226,897,645,608,8,87,1403:39,11613:21,226,66.7,5.5,7,4,1,2,297:53,649,-16,277,16576,20:38,18:00,00:27,02:10,Jake Gardiner
2901:39,41,14,92,321,189,275,9,30,338:05,2545:52,92,0.0,4.4,4,1,0,0,17:42,109,-16,55,3804,15:21,13:28,00:05,01:47,Eric Gelinas
9642:57,167,157,318,1281,657,996,39,72,1119:51,8474:55,318,42.5,12.3,23,2,1,1,48:11,185,37,324,12477,14:40,12:53,00:04,01:42,Nino Niederreiter
6870:48,105,61,130,472,468,783,1,5,100:54,5944:02,130,33.9,12.9,7,0,2,4,825:52,301,8,166,9797,14:40,12:42,01:45,00:12,Jesper Fast
8863:09,198,129,294,1240,474,886,32,92,1205:27,7070:27,294,51.7,10.4,16,2,7,9,587:15,284,-29,327,10941,18:41,14:54,01:14,02:32,Vincent Trocheck
2633:26,37,37,66,356,207,118,5,16,344:20,2285:57,66,41.9,10.4,5,0,0,0,03:09,45,5,74,3680,12:43,11:02,00:00,01:39,Josh Leivo
2504:01,23,31,122,326,205,338,1,1,89:37,2388:32,122,38.5,9.5,6,0,0,0,25:52,90,-2,54,3400,12:12,11:39,00:07,00:26,Stefan Noesen
7365:50,95,28,204,655,366,632,0,13,241:07,6474:38,204,50.0,4.3,4,1,1,5,650:05,476,-23,123,9490,20:07,17:41,01:46,00:39,Brady Skjei
7493:40,208,96,76,958,449,150,24,92,1032:18,6182:47,76,44.4,10.0,13,2,2,10,278:35,162,59,304,9758,16:41,13:46,00:37,02:17,Teuvo Teravainen
5921:59,69,47,188,590,418,605,1,3,83:03,5057:44,188,44.8,8.0,12,0,3,10,781:12,241,-48,116,8506,14:10,12:05,01:52,00:11,Jordan Martinook
9772:05,134,32,60,729,429,271,6,21,397:16,8224:17,60,0.0,4.4,5,2,2,9,1150:32,761,77,166,11310,22:46,19:10,02:40,00:55,Jaccob Slavin
8476:44,103,24,125,573,405,236,2,12,210:33,7304:52,125,33.3,4.2,4,0,0,4,961:19,636,66,127,10247,20:55,18:02,02:22,00:31,Brett Pesce
3797:56,82,24,176,401,206,167,5,44,505:20,3272:01,176,100.0,6.0,4,2,0,0,20:35,235,-19,106,4703,18:26,15:53,00:05,02:27,Tony DeAngelo
48:05,0,0,2,4,3,5,0,0,00:00,47:24,2,0.0,0,0,0,0,00:41,5,0,0,61,16:01,15:48,00:13,00:00,Josh Jacobs
27:14,0,1,0,3,3,0,0,0,00:00,27:14,0,50.0,33.3,0,0,0,0,00:00,1,0,1,35,09:04,09:04,00:00,00:00,Maxim Letunov
6837:40,175,145,134,1011,366,274,32,92,1000:02,5511:13,134,48.6,14.3,27,5,12,15,326:25,110,54,320,8454,18:40,15:03,00:53,02:43,Sebastian Aho
2667:26,25,8,57,172,132,104,2,4,107:49,2346:07,57,4.7,2,0,0,0,213:30,189,-16,33,3201,20:12,17:46,01:37,00:49,Ethan Bear
469:45,6,2,8,40,45,47,0,0,03:17,459:15,8,51.1,5.0,1,0,0,0,07:13,16,1,8,652,10:26,10:12,00:09,00:04,Steven Lorentz
241:52,1,0,12,14,18,11,0,0,00:00,229:00,12,0.0,0,0,0,0,12:52,10,-11,1,331,13:26,12:43,00:42,00:00,Jalen Chatfield
24:32,0,0,0,1,2,1,0,0,00:22,24:10,0,50.0,0.0,0,0,0,0,00:00,1,-3,0,34,12:16,12:05,00:00,00:11,Andrew Poturalski
1105:37,8,7,20,82,62,36,4,8,92:51,909:10,20,8.5,0,0,0,0,103:36,85,-25,15,1472,17:49,14:39,01:40,01:29,Maxime Lajoie
1900:12,48,31,32,208,125,113,9,20,226:46,1620:44,32,37.4,14.9,6,2,2,4,52:42,53,19,79,2413,15:12,12:57,00:25,01:48,Martin Necas
148:13,1,2,0,20,14,7,0,0,01:31,143:27,0,10.0,1,0,0,0,03:15,1,-1,3,199,10:35,10:14,00:13,00:06,C.J. Smith
19:34,0,0,0,1,1,2,0,0,02:39,16:55,0,0.0,0,0,0,0,00:00,0,-1,0,24,19:34,16:55,00:00,02:39,Joey Keane
2381:58,40,22,61,276,171,201,2,11,320:31,2059:39,61,45.9,8.0,3,0,0,0,01:48,84,-11,62,3159,13:55,12:02,00:00,01:52,Jesperi Kotkaniemi
3303:52,81,59,160,519,205,353,10,42,519:45,2781:07,160,21.4,11.4,9,2,0,0,03:00,71,10,140,4287,16:06,13:33,00:00,02:32,Andrei Svechnikov
11191:02,152,82,308,1194,493,525,29,68,1184:25,9262:11,308,6.9,19,5,1,2,744:26,521,34,234,13162,22:41,18:47,01:30,02:24,Aaron Ekblad
31771:15,1104,425,1262,3042,1680,1280,143,545,5957:43,24761:40,1262,52.6,14.0,67,9,6,12,1051:52,408,192,1529,39424,18:54,14:44,00:37,03:32,Joe Thornton
13127:49,260,252,434,2616,814,1291,92,161,2414:36,10694:56,434,40.7,9.6,43,1,0,0,18:17,457,83,512,17082,16:07,13:08,00:01,02:57,Patric Hornqvist
1305:43,14,14,36,187,153,116,1,1,43:21,1248:07,36,45.4,7.5,1,0,0,0,14:15,47,-32,28,2024,08:32,08:09,00:05,00:17,Zac Dalpe
5147:23,50,27,184,468,321,516,0,8,235:36,4668:26,184,5.8,7,1,0,2,243:21,313,8,77,6821,16:02,14:32,00:45,00:44,Kevin Connauton
